State,District,Level,Name,TRU,No_HH_Head,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,,,,,
20,362,DISTRICT,Dumka,Total,122034,571077,282125,288952,95238,48117,47121,251585,151204,100381,319492,130921,188571,299932,161691,138241,95170,61466,33704,41202,28599,12603,33347,20267,13080,3544,1933,1611,17077,10667,6410,204762,100225,104537,64030,32425,31605,122353,58227,64126,6022,2257,3765,12357,7316,5041,163083,82891,80192,50979,26850,24129,98717,48685,50032,4174,1672,2502,9213,5684,3529,41679,17334,24345,13051,5575,7476,23636,9542,14094,1848,585,1263,3144,1632,1512,271145,120434,150711,,,,,
20,362,DISTRICT,Dumka,Rural,120973,565629,279275,286354,94556,47754,46802,248084,149228,98856,317545,130047,187498,298078,160525,137553,94002,60637,33365,41046,28472,12574,33291,20229,13062,3533,1924,1609,16132,10012,6120,204076,99888,104188,63965,32393,31572,121898,58019,63879,6006,2251,3755,12207,7225,4982,162431,82577,79854,50918,26819,24099,98272,48483,49789,4161,1668,2493,9080,5607,3473,41645,17311,24334,13047,5574,7473,23626,9536,14090,1845,583,1262,3127,1618,1509,267551,118750,148801,,,,,
20,362,DISTRICT,Dumka,Urban,1061,5448,2850,2598,682,363,319,3501,1976,1525,1947,874,1073,1854,1166,688,1168,829,339,156,127,29,56,38,18,11,9,2,945,655,290,686,337,349,65,32,33,455,208,247,16,6,10,150,91,59,652,314,338,61,31,30,445,202,243,13,4,9,133,77,56,34,23,11,4,1,3,10,6,4,3,2,1,17,14,3,3594,1684,1910,,,,,
20,363,DISTRICT,Jamtara,Total,47686,240489,120035,120454,39442,19939,19503,110832,67990,42842,129657,52045,77612,116481,67115,49366,39924,27442,12482,18676,13344,5332,11405,7451,3954,2749,1550,1199,7094,5097,1997,76557,39673,36884,27186,13844,13342,40789,20618,20171,1807,721,1086,6775,4490,2285,62006,34143,27863,21974,11814,10160,33018,17868,15150,1436,618,818,5578,3843,1735,14551,5530,9021,5212,2030,3182,7771,2750,5021,371,103,268,1197,647,550,124008,52920,71088,,,,,
20,363,DISTRICT,Jamtara,Rural,46914,236962,118262,118700,38977,19722,19255,108474,66646,41828,128488,51616,76872,115218,66233,48985,39104,26809,12295,18645,13315,5330,11297,7365,3932,2728,1540,1188,6434,4589,1845,76114,39424,36690,27162,13826,13336,40525,20477,20048,1798,719,1079,6629,4402,2227,61611,33916,27695,21953,11797,10156,32788,17744,15044,1428,616,812,5442,3759,1683,14503,5508,8995,5209,2029,3180,7737,2733,5004,370,103,267,1187,643,544,121744,52029,69715,,,,,
20,363,DISTRICT,Jamtara,Urban,772,3527,1773,1754,465,217,248,2358,1344,1014,1169,429,740,1263,882,381,820,633,187,31,29,2,108,86,22,21,10,11,660,508,152,443,249,194,24,18,6,264,141,123,9,2,7,146,88,58,395,227,168,21,17,4,230,124,106,8,2,6,136,84,52,48,22,26,3,1,2,34,17,17,1,0,1,10,4,6,2264,891,1373,,,,,
20,364,DISTRICT,Ranchi,Total,204739,1042016,520582,521434,149104,75837,73267,606377,344777,261600,435639,175805,259834,463569,262887,200682,273836,173940,99896,114018,72454,41564,49647,28502,21145,6634,3620,3014,103537,69364,34173,189733,88947,100786,61001,27494,33507,82191,36075,46116,6002,2246,3756,40539,23132,17407,154255,73506,80749,48766,22145,26621,67704,30249,37455,4315,1704,2611,33470,19408,14062,35478,15441,20037,12235,5349,6886,14487,5826,8661,1687,542,1145,7069,3724,3345,578447,257695,320752,,,,,
20,364,DISTRICT,Ranchi,Rural,153616,789838,395718,394120,120631,61190,59441,425711,249009,176702,364127,146709,217418,376561,207836,168725,207554,130696,76858,112113,71173,40940,46135,26155,19980,5509,2999,2510,43797,30369,13428,169007,77140,91867,59758,26800,32958,78450,33979,44471,5388,1967,3421,25411,14394,11017,137016,63678,73338,47681,21532,26149,64788,28600,36188,3807,1467,2340,20740,12079,8661,31991,13462,18529,12077,5268,6809,13662,5379,8283,1581,500,1081,4671,2315,2356,413277,187882,225395,,,,,
20,364,DISTRICT,Ranchi,Urban,51123,252178,124864,127314,28473,14647,13826,180666,95768,84898,71512,29096,42416,87008,55051,31957,66282,43244,23038,1905,1281,624,3512,2347,1165,1125,621,504,59740,38995,20745,20726,11807,8919,1243,694,549,3741,2096,1645,614,279,335,15128,8738,6390,17239,9828,7411,1085,613,472,2916,1649,1267,508,237,271,12730,7329,5401,3487,1979,1508,158,81,77,825,447,378,106,42,64,2398,1409,989,165170,69813,95357,,,,,
20,365,DISTRICT,Khunti,Total,74255,389626,193710,195916,64920,32876,32044,198979,115093,83886,190647,78617,112030,195731,102735,92996,113188,66919,46269,88813,53205,35608,10954,5613,5341,2055,1138,917,11366,6963,4403,82543,35816,46727,49041,21737,27304,24629,9610,15019,2495,921,1574,6378,3548,2830,69063,30637,38426,41836,18829,23007,20243,8250,11993,2024,729,1295,4960,2829,2131,13480,5179,8301,7205,2908,4297,4386,1360,3026,471,192,279,1418,719,699,193895,90975,102920,,,,,
20,365,DISTRICT,Khunti,Rural,70551,371469,184910,186559,62715,31766,30949,185432,108209,77223,186037,76701,109336,190208,99353,90855,109557,64499,45058,88163,52751,35412,10779,5505,5274,1948,1075,873,8667,5168,3499,80651,34854,45797,48441,21463,26978,24382,9480,14902,2436,895,1541,5392,3016,2376,67633,29832,37801,41414,18593,22821,20038,8141,11897,1982,710,1272,4199,2388,1811,13018,5022,7996,7027,2870,4157,4344,1339,3005,454,185,269,1193,628,565,181261,85557,95704,,,,,
20,365,DISTRICT,Khunti,Urban,3704,18157,8800,9357,2205,1110,1095,13547,6884,6663,4610,1916,2694,5523,3382,2141,3631,2420,1211,650,454,196,175,108,67,107,63,44,2699,1795,904,1892,962,930,600,274,326,247,130,117,59,26,33,986,532,454,1430,805,625,422,236,186,205,109,96,42,19,23,761,441,320,462,157,305,178,38,140,42,21,21,17,7,10,225,91,134,12634,5418,7216,,,,,
20,366,DISTRICT,Gumla,Total,126451,706754,352514,354240,121753,61833,59920,373314,213477,159837,333440,139037,194403,342642,180602,162040,194894,118359,76535,149684,92022,57662,22799,12303,10496,2989,1699,1290,19422,12335,7087,147748,62243,85505,93460,39220,54240,43898,17898,26000,2814,1109,1705,7576,4016,3560,119027,50665,68362,75376,31938,43438,35960,14862,21098,2095,834,1261,5596,3031,2565,28721,11578,17143,18084,7282,10802,7938,3036,4902,719,275,444,1980,985,995,364112,171912,192200,,,,,
20,366,DISTRICT,Gumla,Rural,121883,682789,340901,341888,118701,60263,58438,355164,204273,150891,327625,136628,190997,336551,176562,159989,190205,115190,75015,149026,91565,57461,22561,12111,10450,2820,1599,1221,15798,9915,5883,146346,61372,84974,93209,39054,54155,43386,17555,25831,2760,1076,1684,6991,3687,3304,117946,49954,67992,75203,31808,43395,35591,14587,21004,2057,810,1247,5095,2749,2346,28400,11418,16982,18006,7246,10760,7795,2968,4827,703,266,437,1896,938,958,346238,164339,181899,,,,,
20,366,DISTRICT,Gumla,Urban,4568,23965,11613,12352,3052,1570,1482,18150,9204,8946,5815,2409,3406,6091,4040,2051,4689,3169,1520,658,457,201,238,192,46,169,100,69,3624,2420,1204,1402,871,531,251,166,85,512,343,169,54,33,21,585,329,256,1081,711,370,173,130,43,369,275,94,38,24,14,501,282,219,321,160,161,78,36,42,143,68,75,16,9,7,84,47,37,17874,7573,10301,,,,,
20,367,DISTRICT,Simdega,Total,82125,424407,211546,212861,65716,33367,32349,246621,135472,111149,177786,76074,101712,208377,112929,95448,110821,73463,37358,75258,52456,22802,21432,12223,9209,1846,1184,662,12285,7600,4685,97556,39466,58090,47963,20063,27900,44023,16374,27649,1263,493,770,4307,2536,1771,83064,34119,48945,40820,17366,23454,37621,14233,23388,1000,386,614,3623,2134,1489,14492,5347,9145,7143,2697,4446,6402,2141,4261,263,107,156,684,402,282,216030,98617,117413,,,,,
20,367,DISTRICT,Simdega,Rural,78256,404487,201913,202574,63428,32224,31204,231665,128039,103626,172822,73874,98948,202012,108888,93124,106526,70502,36024,74417,51848,22569,20878,11816,9062,1794,1145,649,9437,5693,3744,95486,38386,57100,47390,19722,27668,43103,16012,27091,1227,469,758,3766,2183,1583,81316,33173,48143,40336,17038,23298,36830,13924,22906,966,363,603,3184,1848,1336,14170,5213,8957,7054,2684,4370,6273,2088,4185,261,106,155,582,335,247,202475,93025,109450,,,,,
20,367,DISTRICT,Simdega,Urban,3869,19920,9633,10287,2288,1143,1145,14956,7433,7523,4964,2200,2764,6365,4041,2324,4295,2961,1334,841,608,233,554,407,147,52,39,13,2848,1907,941,2070,1080,990,573,341,232,920,362,558,36,24,12,541,353,188,1748,946,802,484,328,156,791,309,482,34,23,11,439,286,153,322,134,188,89,13,76,129,53,76,2,1,1,102,67,35,13555,5592,7963,,,,,
20,368,DISTRICT,Pashchimi Singhbhum,Total,199674,1011296,500949,510347,191256,96031,95225,438137,268741,169396,573159,232208,340951,483288,259437,223851,221240,146848,74392,114149,78858,35291,53946,28935,25011,4716,2646,2070,48429,36409,12020,262048,112589,149459,87561,41085,46476,145298,56468,88830,4255,1724,2531,24934,13312,11622,212092,93819,118273,73550,34892,38658,118547,47372,71175,3481,1439,2042,16514,10116,6398,49956,18770,31186,14011,6193,7818,26751,9096,17655,774,285,489,8420,3196,5224,528008,241512,286496,,,,,
20,368,DISTRICT,Pashchimi Singhbhum,Rural,187433,953106,472040,481066,183024,91882,91142,400931,248170,152761,552175,223870,328305,465451,246996,218455,207741,136892,70849,113444,78354,35090,53341,28520,24821,4463,2513,1950,36493,27505,8988,257710,110104,147606,87353,40953,46400,143948,55836,88112,4132,1676,2456,22277,11639,10638,208846,91821,117025,73372,34773,38599,117564,46865,70699,3404,1404,2000,14506,8779,5727,48864,18283,30581,13981,6180,7801,26384,8971,17413,728,272,456,7771,2860,4911,487655,225044,262611,,,,,
20,368,DISTRICT,Pashchimi Singhbhum,Urban,12241,58190,28909,29281,8232,4149,4083,37206,20571,16635,20984,8338,12646,17837,12441,5396,13499,9956,3543,705,504,201,605,415,190,253,133,120,11936,8904,3032,4338,2485,1853,208,132,76,1350,632,718,123,48,75,2657,1673,984,3246,1998,1248,178,119,59,983,507,476,77,35,42,2008,1337,671,1092,487,605,30,13,17,367,125,242,46,13,33,649,336,313,40353,16468,23885,,,,,
20,369,DISTRICT,Saraikela-Kharsawan,Total,75241,374642,187149,187493,61557,31341,30216,179382,110500,68882,195260,76649,118611,168750,97908,70842,73702,51757,21945,28202,20880,7322,14868,8357,6511,1936,941,995,28696,21579,7117,95048,46151,48897,29653,15975,13678,53177,23407,29770,1601,676,925,10617,6093,4524,77836,39454,38382,25285,14081,11204,42997,19757,23240,1124,481,643,8430,5135,3295,17212,6697,10515,4368,1894,2474,10180,3650,6530,477,195,282,2187,958,1229,205892,89241,116651,,,,,
20,369,DISTRICT,Saraikela-Kharsawan,Rural,68717,345187,172347,172840,56614,28838,27776,164060,101467,62593,181127,70880,110247,158729,90649,68080,65132,45342,19790,28087,20782,7305,14677,8224,6453,1840,870,970,20528,15466,5062,93597,45307,48290,29608,15960,13648,52847,23194,29653,1575,660,915,9567,5493,4074,76649,38738,37911,25250,14068,11182,42720,19571,23149,1106,470,636,7573,4629,2944,16948,6569,10379,4358,1892,2466,10127,3623,6504,469,190,279,1994,864,1130,186458,81698,104760,,,,,
20,369,DISTRICT,Saraikela-Kharsawan,Urban,6524,29455,14802,14653,4943,2503,2440,15322,9033,6289,14133,5769,8364,10021,7259,2762,8570,6415,2155,115,98,17,191,133,58,96,71,25,8168,6113,2055,1451,844,607,45,15,30,330,213,117,26,16,10,1050,600,450,1187,716,471,35,13,22,277,186,91,18,11,7,857,506,351,264,128,136,10,2,8,53,27,26,8,5,3,193,94,99,19434,7543,11891,,,,,
21,000,State,ODISHA,Total,2163110,9590756,4727732,4863024,1520832,767943,752889,4215630,2522307,1693323,5375126,2205425,3169701,4769659,2633188,2136471,2330697,1697514,633183,942860,783486,159374,758536,466695,291841,60173,28884,31289,569128,418449,150679,2438962,935674,1503288,285273,150182,135091,1718927,589233,1129694,102489,23270,79219,332273,172989,159284,1991838,776295,1215543,236189,127379,108810,1430522,496552,933970,76427,17431,58996,248700,134933,113767,447124,159379,287745,49084,22803,26281,288405,92681,195724,26062,5839,20223,83573,38056,45517,4821097,2094544,2726553,,,,,
21,000,State,ODISHA,Rural,2031543,8994967,4428522,4566445,1442622,727936,714686,3858094,2320976,1537118,5136873,2107546,3029327,4550280,2481753,2068527,2161370,1572193,589177,934177,776437,157740,745567,458402,287165,54781,25424,29357,426845,311930,114915,2388910,909560,1479350,283535,149122,134413,1706356,584269,1122087,99319,21945,77374,299700,154224,145476,1951448,754769,1196679,234671,126415,108256,1420645,492508,928137,73936,16352,57584,222196,119494,102702,437462,154791,282671,48864,22707,26157,285711,91761,193950,25383,5593,19790,77504,34730,42774,4444687,1946769,2497918,,,,,
21,000,State,ODISHA,Urban,131567,595789,299210,296579,78210,40007,38203,357536,201331,156205,238253,97879,140374,219379,151435,67944,169327,125321,44006,8683,7049,1634,12969,8293,4676,5392,3460,1932,142283,106519,35764,50052,26114,23938,1738,1060,678,12571,4964,7607,3170,1325,1845,32573,18765,13808,40390,21526,18864,1518,964,554,9877,4044,5833,2491,1079,1412,26504,15439,11065,9662,4588,5074,220,96,124,2694,920,1774,679,246,433,6069,3326,2743,376410,147775,228635,,,,,
21,370,DISTRICT,Bargarh,Total,69925,281135,140542,140593,33141,16801,16340,160846,93382,67464,120289,47160,73129,155541,89874,65667,88168,65175,22993,27431,23961,3470,45618,30329,15289,3262,1929,1333,11857,8956,2901,67373,24699,42674,7003,2839,4164,55482,19501,35981,1341,384,957,3547,1975,1572,55948,20783,35165,5601,2291,3310,46509,16613,29896,1098,302,796,2740,1577,1163,11425,3916,7509,1402,548,854,8973,2888,6085,243,82,161,807,398,409,125594,50668,74926,,,,,
21,370,DISTRICT,Bargarh,Rural,67517,270996,135586,135410,31973,16207,15766,154138,89782,64356,116858,45804,71054,151710,87042,64668,85042,62711,22331,27293,23832,3461,45260,30079,15181,3150,1847,1303,9339,6953,2386,66668,24331,42337,6966,2824,4142,55226,19401,35825,1287,369,918,3189,1737,1452,55387,20495,34892,5571,2277,3294,46302,16523,29779,1051,289,762,2463,1406,1057,11281,3836,7445,1395,547,848,8924,2878,6046,236,80,156,726,331,395,119286,48544,70742,,,,,
21,370,DISTRICT,Bargarh,Urban,2408,10139,4956,5183,1168,594,574,6708,3600,3108,3431,1356,2075,3831,2832,999,3126,2464,662,138,129,9,358,250,108,112,82,30,2518,2003,515,705,368,337,37,15,22,256,100,156,54,15,39,358,238,120,561,288,273,30,14,16,207,90,117,47,13,34,277,171,106,144,80,64,7,1,6,49,10,39,7,2,5,81,67,14,6308,2124,4184,,,,,
21,371,DISTRICT,Jharsuguda,Total,41286,176758,88273,88485,19826,9992,9834,107841,61671,46170,68917,26602,42315,87018,53241,33777,52560,38640,13920,13053,11007,2046,10179,6312,3867,2781,838,1943,26547,20483,6064,34458,14601,19857,3108,1623,1485,18398,6713,11685,2515,469,2046,10437,5796,4641,28125,12090,16035,2476,1354,1122,15278,5622,9656,1989,377,1612,8382,4737,3645,6333,2511,3822,632,269,363,3120,1091,2029,526,92,434,2055,1059,996,89740,35032,54708,,,,,
21,371,DISTRICT,Jharsuguda,Rural,32937,140117,69951,70166,15516,7824,7692,84821,48587,36234,55296,21364,33932,73004,43127,29877,41590,30127,11463,12610,10609,2001,9908,6107,3801,2422,597,1825,16650,12814,3836,31414,13000,18414,2986,1535,1451,17868,6509,11359,2316,395,1921,8244,4561,3683,25623,10748,14875,2369,1272,1097,14843,5448,9395,1837,326,1511,6574,3702,2872,5791,2252,3539,617,263,354,3025,1061,1964,479,69,410,1670,859,811,67113,26824,40289,,,,,
21,371,DISTRICT,Jharsuguda,Urban,8349,36641,18322,18319,4310,2168,2142,23020,13084,9936,13621,5238,8383,14014,10114,3900,10970,8513,2457,443,398,45,271,205,66,359,241,118,9897,7669,2228,3044,1601,1443,122,88,34,530,204,326,199,74,125,2193,1235,958,2502,1342,1160,107,82,25,435,174,261,152,51,101,1808,1035,773,542,259,283,15,6,9,95,30,65,47,23,24,385,200,185,22627,8208,14419,,,,,
21,372,DISTRICT,Sambalpur,Total,83298,355261,177565,177696,43408,22167,21241,205068,118097,86971,150193,59468,90725,195589,108142,87447,114253,75477,38776,30515,25010,5505,38093,23695,14398,12109,2269,9840,33536,24503,9033,81336,32665,48671,6069,3247,2822,48105,18785,29320,10778,1181,9597,16384,9452,6932,68236,27801,40435,5041,2796,2245,41028,16225,24803,8960,959,8001,13207,7821,5386,13100,4864,8236,1028,451,577,7077,2560,4517,1818,222,1596,3177,1631,1546,159672,69423,90249,,,,,
21,372,DISTRICT,Sambalpur,Rural,74817,318413,158927,159486,38880,19780,19100,182583,105247,77336,135830,53680,82150,178928,97568,81360,102231,66995,35236,29613,24318,5295,37253,23079,14174,11077,1924,9153,24288,17674,6614,76697,30573,46124,5971,3188,2783,47086,18373,28713,9988,1021,8967,13652,7991,5661,64493,26082,38411,4955,2745,2210,40266,15916,24350,8386,844,7542,10886,6577,4309,12204,4491,7713,1016,443,573,6820,2457,4363,1602,177,1425,2766,1414,1352,139485,61359,78126,,,,,
21,372,DISTRICT,Sambalpur,Urban,8481,36848,18638,18210,4528,2387,2141,22485,12850,9635,14363,5788,8575,16661,10574,6087,12022,8482,3540,902,692,210,840,616,224,1032,345,687,9248,6829,2419,4639,2092,2547,98,59,39,1019,412,607,790,160,630,2732,1461,1271,3743,1719,2024,86,51,35,762,309,453,574,115,459,2321,1244,1077,896,373,523,12,8,4,257,103,154,216,45,171,411,217,194,20187,8064,12123,,,,,
21,373,DISTRICT,Debagarh,Total,24864,110400,55126,55274,16334,8273,8061,58678,34283,24395,51722,20843,30879,59352,31849,27503,25907,18531,7376,10212,8218,1994,9606,5965,3641,824,471,353,5265,3877,1388,33445,13318,20127,3004,1478,1526,25703,9637,16066,724,236,488,4014,1967,2047,26914,10827,16087,2271,1156,1115,21040,7901,13139,584,190,394,3019,1580,1439,6531,2491,4040,733,322,411,4663,1736,2927,140,46,94,995,387,608,51048,23277,27771,,,,,
21,373,DISTRICT,Debagarh,Rural,23680,104956,52324,52632,15549,7869,7680,55438,32429,23009,49518,19895,29623,57340,30492,26848,24641,17559,7082,10104,8151,1953,9393,5809,3584,797,454,343,4347,3145,1202,32699,12933,19766,2959,1463,1496,25462,9548,15914,710,230,480,3568,1692,1876,26319,10508,15811,2229,1141,1088,20835,7830,13005,572,185,387,2683,1352,1331,6380,2425,3955,730,322,408,4627,1718,2909,138,45,93,885,340,545,47616,21832,25784,,,,,
21,373,DISTRICT,Debagarh,Urban,1184,5444,2802,2642,785,404,381,3240,1854,1386,2204,948,1256,2012,1357,655,1266,972,294,108,67,41,213,156,57,27,17,10,918,732,186,746,385,361,45,15,30,241,89,152,14,6,8,446,275,171,595,319,276,42,15,27,205,71,134,12,5,7,336,228,108,151,66,85,3,0,3,36,18,18,2,1,1,110,47,63,3432,1445,1987,,,,,
21,374,DISTRICT,Sundargarh,Total,235685,1062349,526856,535493,145030,73579,71451,597036,335350,261686,465313,191506,273807,475916,289677,186239,244973,187397,57576,93337,78664,14673,39914,25274,14640,5037,3629,1408,106685,79830,26855,230943,102280,128663,37064,21969,15095,140423,48558,91865,5364,2404,2960,48092,29349,18743,181055,81549,99506,29336,18292,11044,112639,39323,73316,3841,1820,2021,35239,22114,13125,49888,20731,29157,7728,3677,4051,27784,9235,18549,1523,584,939,12853,7235,5618,586433,237179,349254,,,,,
21,374,DISTRICT,Sundargarh,Rural,201145,908475,450276,458199,127144,64443,62701,493873,279561,214312,414602,170715,243887,422065,250558,171507,201202,154312,46890,91649,77224,14425,39079,24713,14366,3995,2833,1162,66479,49542,16937,220863,96246,124617,36519,21609,14910,139643,48234,91409,4791,2093,2698,39910,24310,15600,173046,76675,96371,28858,17958,10900,112083,39079,73004,3358,1542,1816,28747,18096,10651,47817,19571,28246,7661,3651,4010,27560,9155,18405,1433,551,882,11163,6214,4949,486410,199718,286692,,,,,
21,374,DISTRICT,Sundargarh,Urban,34540,153874,76580,77294,17886,9136,8750,103163,55789,47374,50711,20791,29920,53851,39119,14732,43771,33085,10686,1688,1440,248,835,561,274,1042,796,246,40206,30288,9918,10080,6034,4046,545,360,185,780,324,456,573,311,262,8182,5039,3143,8009,4874,3135,478,334,144,556,244,312,483,278,205,6492,4018,2474,2071,1160,911,67,26,41,224,80,144,90,33,57,1690,1021,669,100023,37461,62562,,,,,
21,375,DISTRICT,Kendujhar,Total,174692,818878,405927,412951,141173,71185,69988,360833,218303,142530,458045,187624,270421,376628,216672,159956,183309,140830,42479,72356,63636,8720,48809,29587,19222,2547,1517,1030,59597,46090,13507,193319,75842,117477,19540,11471,8069,141851,47926,93925,4624,990,3634,27304,15455,11849,155214,61569,93645,16663,9972,6691,115539,38919,76620,3417,742,2675,19595,11936,7659,38105,14273,23832,2877,1499,1378,26312,9007,17305,1207,248,959,7709,3519,4190,442250,189255,252995,,,,,
21,375,DISTRICT,Kendujhar,Rural,161558,759937,376255,383682,130991,66073,64918,333091,201495,131596,426846,174760,252086,357001,202012,154989,167539,128522,39017,71772,63123,8649,47769,28837,18932,2139,1239,900,45859,35323,10536,189462,73490,115972,19454,11406,8048,141147,47557,93590,4542,944,3598,24319,13583,10736,152140,59636,92504,16588,9917,6671,114954,38602,76352,3352,704,2648,17246,10413,6833,37322,13854,23468,2866,1489,1377,26193,8955,17238,1190,240,950,7073,3170,3903,402936,174243,228693,,,,,
21,375,DISTRICT,Kendujhar,Urban,13134,58941,29672,29269,10182,5112,5070,27742,16808,10934,31199,12864,18335,19627,14660,4967,15770,12308,3462,584,513,71,1040,750,290,408,278,130,13738,10767,2971,3857,2352,1505,86,65,21,704,369,335,82,46,36,2985,1872,1113,3074,1933,1141,75,55,20,585,317,268,65,38,27,2349,1523,826,783,419,364,11,10,1,119,52,67,17,8,9,636,349,287,39314,15012,24302,,,,,
21,376,DISTRICT,Mayurbhanj,Total,326463,1479576,730487,749089,235824,119494,116330,660585,398849,261736,818991,331638,487353,752775,398622,354153,301454,213100,88354,112486,95998,16488,102098,60306,41792,13739,5620,8119,73131,51176,21955,451321,185522,265799,42913,27737,15176,299128,115231,183897,44092,8646,35446,65188,33908,31280,358392,151263,207129,35851,23771,12080,241271,94683,146588,32503,6299,26204,48767,26510,22257,92929,34259,58670,7062,3966,3096,57857,20548,37309,11589,2347,9242,16421,7398,9023,726801,331865,394936,,,,,
21,376,DISTRICT,Mayurbhanj,Rural,317694,1439002,710396,728606,231120,117046,114074,635288,385086,250202,803714,325310,478404,737730,388526,349204,290793,205253,85540,111610,95328,16282,100962,59634,41328,13453,5421,8032,64768,44870,19898,446937,183273,263664,42667,27598,15069,297809,114762,183047,43946,8570,35376,62515,32343,30172,355104,149523,205581,35646,23648,11998,240413,94366,146047,32387,6239,26148,46658,25270,21388,91833,33750,58083,7021,3950,3071,57396,20396,37000,11559,2331,9228,15857,7073,8784,701272,321870,379402,,,,,
21,376,DISTRICT,Mayurbhanj,Urban,8769,40574,20091,20483,4704,2448,2256,25297,13763,11534,15277,6328,8949,15045,10096,4949,10661,7847,2814,876,670,206,1136,672,464,286,199,87,8363,6306,2057,4384,2249,2135,246,139,107,1319,469,850,146,76,70,2673,1565,1108,3288,1740,1548,205,123,82,858,317,541,116,60,56,2109,1240,869,1096,509,587,41,16,25,461,152,309,30,16,14,564,325,239,25529,9995,15534,,,,,
21,377,DISTRICT,Baleshwar,Total,58882,275678,137748,137930,47859,24173,23686,114038,69813,44225,161640,67935,93705,129082,75466,53616,78423,55578,22845,14346,12773,1573,42698,27675,15023,1898,950,948,19481,14180,5301,50659,19888,30771,3859,1849,2010,36245,13713,22532,2846,816,2030,7709,3510,4199,40719,16231,24488,2313,1149,1164,29920,11522,18398,2295,641,1654,6191,2919,3272,9940,3657,6283,1546,700,846,6325,2191,4134,551,175,376,1518,591,927,146596,62282,84314,,,,,
21,377,DISTRICT,Baleshwar,Rural,54627,255098,127371,127727,44526,22470,22056,104889,64453,40436,150209,62918,87291,120686,70015,50671,72139,51186,20953,13818,12353,1465,40514,26305,14209,1790,861,929,16017,11667,4350,48547,18829,29718,3823,1825,1998,35232,13256,21976,2647,707,1940,6845,3041,3804,38870,15289,23581,2283,1127,1156,29010,11111,17899,2150,552,1598,5427,2499,2928,9677,3540,6137,1540,698,842,6222,2145,4077,497,155,342,1418,542,876,134412,57356,77056,,,,,
21,377,DISTRICT,Baleshwar,Urban,4255,20580,10377,10203,3333,1703,1630,9149,5360,3789,11431,5017,6414,8396,5451,2945,6284,4392,1892,528,420,108,2184,1370,814,108,89,19,3464,2513,951,2112,1059,1053,36,24,12,1013,457,556,199,109,90,864,469,395,1849,942,907,30,22,8,910,411,499,145,89,56,764,420,344,263,117,146,6,2,4,103,46,57,54,20,34,100,49,51,12184,4926,7258,,,,,
21,378,DISTRICT,Bhadrak,Total,6192,30428,15361,15067,5827,2954,2873,10699,6602,4097,19729,8759,10970,12321,7855,4466,7451,5317,2134,607,554,53,4426,2989,1437,200,139,61,2218,1635,583,4870,2538,2332,149,118,31,3728,1908,1820,148,71,77,845,441,404,3962,2091,1871,99,75,24,3078,1628,1450,120,63,57,665,325,340,908,447,461,50,43,7,650,280,370,28,8,20,180,116,64,18107,7506,10601,,,,,
21,378,DISTRICT,Bhadrak,Rural,4882,24347,12335,12012,4723,2389,2334,8468,5269,3199,15879,7066,8813,9790,6271,3519,5429,3966,1463,575,528,47,3805,2653,1152,72,56,16,977,729,248,4361,2305,2056,140,113,27,3534,1828,1706,123,57,66,564,307,257,3560,1913,1647,92,71,21,2929,1569,1360,98,50,48,441,223,218,801,392,409,48,42,6,605,259,346,25,7,18,123,84,39,14557,6064,8493,,,,,
21,378,DISTRICT,Bhadrak,Urban,1310,6081,3026,3055,1104,565,539,2231,1333,898,3850,1693,2157,2531,1584,947,2022,1351,671,32,26,6,621,336,285,128,83,45,1241,906,335,509,233,276,9,5,4,194,80,114,25,14,11,281,134,147,402,178,224,7,4,3,149,59,90,22,13,9,224,102,122,107,55,52,2,1,1,45,21,24,3,1,2,57,32,25,3550,1442,2108,,,,,
